Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
137,WA7SAR,444.600,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,476;Yakima,,,,
138,N7JN,146.700,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,6196;San Juan Isl.,,,,
139,N7JN,224.480,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,6394;Mt. Constitution,,,,
140,N7JN,443.450,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,368;Mt. Constitution,,,,
141,W7ECG,224.160,-,1.600000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.0,,5.0W,8854;Lookout Mtn.,,,,
142,W7ECG,442.250,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.0,,5.0W,7393;Lookout Mtn.,,,,
143,W7ECG,442.825,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.0,,5.0W,7100;Ferndale,,,,
144,W7AVM,146.860,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Whidbey Isl.,,,,
145,W7AVM,147.220,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,345;Whidbey Isl.,,,,
146,KB7ARA,147.020,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"31;Lookout Pass, MT",,,,
147,K7BEL,441.100,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"489;Bellevue, WA",,,,
148,WW7ATS,147.080,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Cougar Mtn, WA",,,,
149,WW7STR,147.875,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Cougar Mtn, WA",,,,
150,WW7STR,224.440,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"16503;Cougar Mtn, WA",,,,
151,WW7ATS,441.550,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"601;Cougar Mtn, WA",,,,
152,WW7STR,442.150,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Cougar Mtn, WA",,,,
153,WW7STR,444.850,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Cougar Mtn, WA",,,,
154,WW7STR,927.2125,-,25.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Cougar Mtn, WA",,,,
155,W7EAT,146.7000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Eatonville,,,,
156,W7EAT,224.1800,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Graham,,,,
157,K7DK,440.9500,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Buck Mtn.,,,,
