COMMUNICATIONS RESOURCE AVAILABILITY WORKSHEET,,,,,,,Frequency Band,,,Description,,
,,,,,,,Amateur,,,20250917,,Change Description
,,,,,,,,,,,,
Ch #,"Channel
Configuration",Display Name,Channel/Repeater Name,RX Freq,N/W,"Rx Tone,
CC/TS/TG",TX Freq,N/W,"Tx Tone,
CC/TS/TG",Mode,Remarks,
Analog Voice — VHF High (2m),,,,,,,,,,,,
L21,Simplex,L21252,Simplex Calling 52.525,52.5250,W,CSQ,52.5250,W,CSQ,A,simplex calling,
L22,Simplex,L22231,Simplex 52.31,52.3100,W,CSQ,52.3100,W,CSQ,A,simplex,
L23,Simplex,L23233,Simplex 52.33,52.3300,W,CSQ,52.3300,W,CSQ,A,simplex,
L24,Simplex,L24235,Simplex 52.35,52.3500,W,CSQ,52.3500,W,CSQ,A,simplex,
L25,Simplex,L25237,Simplex 52.37,52.3700,W,CSQ,52.3700,W,CSQ,A,simplex,
L26,Simplex,L26239,Simplex 52.39,52.3900,W,CSQ,52.3900,W,CSQ,A,simplex,
L27,Simplex,L27241,Simplex 52.41,52.4100,W,CSQ,52.4100,W,CSQ,A,simplex,
L28,Simplex,L28243,Simplex 52.43,52.4300,W,CSQ,52.4300,W,CSQ,A,simplex,
L29,Simplex,L29245,Simplex 52.45,52.4500,W,CSQ,52.4500,W,CSQ,A,simplex,
L30,Simplex,L30247,Simplex 52.47,52.4700,W,CSQ,52.4700,W,CSQ,A,simplex,
L31,Simplex,L31249,Simplex 52.49,52.4900,W,CSQ,52.4900,W,CSQ,A,simplex,
L32,Simplex,L32251,Simplex 52.51,52.5100,W,CSQ,52.5100,W,CSQ,A,simplex,
L33,Simplex,L33253,Simplex 52.53,52.5300,W,CSQ,52.5300,W,CSQ,A,simplex,
L34,Simplex,L34255,Simplex 52.55,52.5500,W,CSQ,52.5500,W,CSQ,A,simplex,
L35,Simplex,L35259,Data Simplex 52.59,52.5900,W,CSQ,52.5900,W,CSQ,D,simplex data; also D71,
⋮,,,,,,,,,,,,
L41,Repeater,L41GRS,WA EMD Grass Mt,53.8700,W,CSQ,52.1700,W,100.0,A,W7SIX Grass Mt; belongs to W7SGD,Added ownership note per K7DKK email
L43,Repeater,L43ASH,WA DNR Ashford,53.3900,W,CSQ,51.6900,W,100.0,A,K7TGU Ashford,
⋮,,,,,,,,,100.0,,,
L52,Repeater,L52RED,Redmond,53.0700,W,CSQ,51.3700,W,100.0,A,KC7IYE Redmond,
L53,Repeater,L53KRK,Kirkland,53.1700,W,CSQ,51.4700,W,100,A,K7LWH Kirkland,
⋮,,,,,,,,,,,,
L71,Repeater,L71RVR,Pierce Co Grass Mt,53.6700,W,CSQ†,51.9700,W,136.5,A,K7DKK,
L72,Repeater,L72BAI,Kitsap Co; Bainbridge Is,53.4300,W,CSQ,51.7300,W,100,A,W7NPC,
L73,Repeater,L73BLY,Blyn Mt,53.3700,W,CSQ,51.6700,W,100.0,A,WR7V Blyn Mt; WA EMD R2,
⋮,,,,,,,,,,,,
L81,Repeater,L81BFW,Baw Faw Pk,52.9300,W,CSQ†,51.2300,W,100,A,K7CH Baw Faw Pk,
L82,Repeater,L82SOU,South Mt,53.0300,W,CSQ,51.3300,W,100.0,A,K7CH South Mt,
L83,Repeater,L83EVT,Everett,53.1300,W,CSQ,51.4300,W,100.0,A,KF7T Everett,
L84,Repeater,L84TAC,Tacoma Baldi,53.1900,W,CSQ,51.4900,W,100,A,K7HW Tacoma Baldi,
L85,Repeater,L85CNS,Mt Constitution,53.2100,W,CSQ,51.5100,W,100,A,W7MBY Mt Constitution,
L86,Repeater,L86BAL,Baldi,53.3300,W,CSQ,51.6300,W,100.0,A,N7OEP Baldi,
L87,Repeater,L87SUL,Sultan,53.3500,W,CSQ,51.6500,W,100.0,A,W7SKY Sultan,
L88,Repeater,L88EAT,Eatonville,53.4100,W,CSQ,51.7100,W,100,A,W7PFR Eatonville,
L89,Repeater,L89CPK,Capitol Pk,53.5700,W,CSQ,51.8700,W,100.0,A,W7SIX Capitol Pk,
L90,Repeater,L90CUL,Cultas Mt,53.5900,W,CSQ,51.8900,W,100.0,A,K7OET Cultas Mt,
L91,Repeater,L91COU,Cougar Mt,53.8300,W,CSQ,52.1300,W,123.0,A,N7ERP Cougar Mt,
Analog Voice — VHF 220 MHz/1.25m,,,,,,,,,,,,
⋮,,,,,,,,,,,,
T21,Simplex,T21340,Simplex 223.40,223.4000,W,CSQ,223.4000,W,141.3,A,"simplex voice, shared with data",
T22,Simplex,T22342,Simplex 223.42,223.4200,W,CSQ,223.4200,W,141.3,A,"simplex voice, shared with data",Display name corrected.
T23,Simplex,T23344,Simplex 223.44,223.4400,W,CSQ,223.4400,W,141.3,A,"simplex voice, shared with data",Display name corrected.
T24,Simplex,T24346,Simplex 223.46,223.4600,W,CSQ,223.4600,W,141.3,A,"simplex voice, shared with data",Display name corrected.
T25,Simplex,T25348,Simplex 223.48,223.4800,W,CSQ,223.4800,W,141.3,A,"simplex voice, shared with data",Display name corrected.
T26,Simplex,T26350,Simplex Calling 223.5,223.5000,W,CSQ,223.5000,W,141.3,A,simplex calling,Display name corrected.
T27,Simplex,T27409,Cross-Band 224.09,224.0900,W,CSQ,224.0900,W,141.3,A,cross-band repeat,
⋮,,,,,,,,,,,,
T41,Repeater,T41EMD,WA EMD Camp Murray,223.8400,W,CSQ,222.2400,W,100.0,A,W7EMD; PNW220 Network (planned),
T42,Repeater,T42LED,K7LED E Tiger Mt,224.1200,W,CSQ†,222.5200,W,103.5,A,NTS; SATERN,
T43,Repeater,T43BEA,BEARS W Tiger Mt,224.3400,W,CSQ,222.7400,W,103.5,A,K7NWS; PNW220 Network,
T44,Repeater,T44MST,MST Beacon Hill,224.6800,W,CSQ,223.0800,W,100.0,A,"MST tactical; WW7MST linked, but is intended to be an inbound repeater for remote stations. It will work with voice, but the system is not optimized for that path.",Added linking text to Remarks
⋮,,,,,,,,,,,,
T51,Repeater,T51SLN,Shoreline,224.0200,W,CSQ†,222.4200,W,103.5,A,W7AUX,
T52,Repeater,T52KRK,Kirkland,224.3600,W,CSQ†,222.7600,W,103.5,A,K7LWH,
⋮,,,,,,,,,,,,
T71,Repeater,T71SMV,Snohomish Co Marysville,224.3800,W,CSQ†,222.7800,W,103.5,A,WA7DEM,
⋮,,,,,,,,,,,,
T81,Repeater,T81LFP,Lake Forest Park,224.2200,W,CSQ,222.6200,W,103.5,A,WA7FUS; PNW220 Network,
T82,Repeater,T82BAL,Baldi Mt,224.8800,W,CSQ,223.2800,W,103.5,A,W7WRG; PNW220 Network,
T83,Repeater,T83BFW,Baw Faw Pk,224.0800,W,CSQ,222.4800,W,103.5,A,W7WRG; PNW220 Network,
T84,Repeater,T84HST,Haystack Mt ,224.2800,W,CSQ,222.6800,W,103.5,A,W7WRG; PNW220 Network,
T85,Repeater,T85COU,Cougar Mt,224.4400,W,CSQ,222.8400,W,103.5,A,KF7BJI; PNW220 Network,
ACS Narrowband Channels,,,,,,,,,,,,
U01N,Repeater,U01CLM,Columbia Center,444.5500,N,CSQ†,449.5500,N,123.0,A,coordination; W7ACS; Allstar 48844,Channel #; 'W'->'N'; Tx Tone
U02N,Simplex,U02CLO,Columbia Center Output,444.5500,N,CSQ,444.5500,N,123.0,A,coordination simplex,Channel #; 'W'->'N'; Tx Tone
U03N,Repeater,U03BH1,Beacon Hill 1,440.5250,N,CSQ†,445.5250,N,123.0,A,tactical; W7ACS; Beacon Tower,Channel #; 'W'->'N'; Tx Tone
U04N,Repeater,U04BH2,Beacon Hill 2,442.3000,N,CSQ†,447.3000,N,123.0,A,tactical; W7ACS; Beacon Tower; Allstar 48832,Channel #; 'W'->'N'; Tx Tone
